"","text","screen_name","sample"
"1","Here's all you need to know about eating before a 5K so you're ready to run your best. https://t.co/XeH7KMP6i6 https://t.co/pLtRK053OK","runnersworld","Runners"
"2","13 standing-core exercises that are better than crunches https://t.co/yeYBKp85Kt https://t.co/BtUYaYO8DY","runnersworld","Runners"
"3","Can running help cure a hangover? Spoiler alert: It’s not going to feel good. https://t.co/xU4QGXbvc8 https://t.co/kwCoHPS4d9","runnersworld","Runners"
"4","Build power, speed, and fitness with these workouts. https://t.co/DQP2jJaBdl https://t.co/rs9REzwwd0","runnersworld","Runners"
"5","What to eat to fuel a trail run: https://t.co/HW11fWKsWE https://t.co/fTNfyaEROf","runnersworld","Runners"
"6","How to deal when you have shin splints. https://t.co/tZhTNS9oJS https://t.co/Fzb9tfo8Xh","runnersworld","Runners"
"7","Follow these 7 tips and you'll run happier (and healthier!). https://t.co/369qrNviX8 https://t.co/548g3T34qG","runnersworld","Runners"
"8","The @NewtonRunning Motion VII gets a stability boost with its supercharged new midsole—plus, a punch of neon. https://t.co/nodhgugBqE https://t.co/ndejFZPgRh","runnersworld","Runners"
"9","5 anti-inflammatory foods that'll have you feeling like Tom Brady: https://t.co/QgPRh5igdD https://t.co/x5XzkjIWZN","runnersworld","Runners"
"10","Why you should add running on the beach to your training routine: https://t.co/AzQVRoxhjm https://t.co/q4Kh2X3Fer","runnersworld","Runners"
"11","I <U+2764><U+FE0F> you London https://t.co/VVebMMvnHl","kScodders","Runners"
"12","<f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+008F><f0><U+009F><U+008F><U+00BB> https://t.co/kvTek3vNuB","kScodders","Runners"
"13","There’s a lot of World Cup related twitter content that has become a little grating...

But bring on all the jokes about what Jordan Pickford can save. I’m here for all of it.","PoulterWill","Runners"
"14","NEVER IN DOUBT. NOT REMOTELY ANXIOUS THROUGHOUT THAT WHOLE THING. EASY!!!!!! <f0><U+009F><U+0098><U+0082>
<f0><U+009F><U+0092><U+00AA><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0092><U+00AA><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0092><U+00AA><f0><U+009F><U+008F><U+00BB> https://t.co/t6X7qkepMp","PoulterWill","Runners"
"15","THE STRESS OF PENALTIES <f0><U+009F><U+00A4><U+00A6><f0><U+009F><U+008F><U+00BC><U+200D><U+2642><U+FE0F>","PoulterWill","Runners"
"16","Thank you so much for having me and @Burtrix at Wimbledon, Stella Artois... sorry about blocking the sign with my fluorescent hair and general lankyness. But cheers all the same! @StellaArtois
#StellaArtois #JoieDeBiere https://t.co/ie1JfOoz4G","PoulterWill","Runners"
"17","Finally got to hang with chrisdinh and @lanamckissack today. I THINK they’re still my friends #please https://t.co/JX0JTPuN2D","kihonglee","Runners"
"18","At the #yappie premiere. Congrats to @wongfupro… https://t.co/lRQZwHRlSA","kihonglee","Runners"
"19","Anyone have good rec’s on how to vote for #PrimaryElections today? LEMME KNOW ASAP! #CaliforniaPrimaries","kihonglee","Runners"
"20","Are you looking out for number one? http://t.co/3Zbb00mdaC | #JustinTimberlake #BenAffleck #GemmaArterton| http://t.co/h7oeEHlboW","_RunnerRunner","Runners"
"21","These colors run from charcoal grey to Midnight Black. http://t.co/sK8h1GCtIl","_RunnerRunner","Runners"
"22","Would you bet your chips on love or poker?  Reply with your answer. http://t.co/YrRJElM3tX","_RunnerRunner","Runners"
"23","Add some risk to your weekend w/ #RunnerRunner on Blu-ray™, DVD &amp; Digital HD! &gt;&gt; 
http://t.co/3Zbb00mdaC | http://t.co/s1cQZmEnRR","_RunnerRunner","Runners"
"24","Congrats to @jtimberlake on his @peopleschoice wins! To celebrate, @BestBuy is offering a deal on #RunnerRunner &gt;&gt; http://t.co/nY5jMBWvAl","_RunnerRunner","Runners"
"25","57% of social casino gamers are female. Surprised?","_RunnerRunner","Runners"
"26","Do you know what you're up against? #PokerWisdom http://t.co/vtKyLkjaTN","_RunnerRunner","Runners"
"27","It would take an average American 665 yrs to make $19M. It took online poker player Phil Ivey just a little over 10. http://t.co/Xpmgyj1Lki","_RunnerRunner","Runners"
"28","Public transit is having to share a private jet. http://t.co/F29S8fZ2Ah","_RunnerRunner","Runners"
"29","Warriors! Now available as a limited edition CD and booklet or digital download! The Warrior Workout Start Kit. #TeamWarrior https://t.co/854njuSBqK https://t.co/G3oaTvssdQ","UltimateWarrior","Runners"
"30","<f0><U+009F><U+0092><U+0099>Be the kind of dad who will be called ultimately irreplaceable...Always! #HappyFathersDay to all you WARRIOR Dads! xo<f0><U+009F><U+0091><U+0094>d <U+2728> https://t.co/7hYOtimXiR","UltimateWarrior","Runners"
"31","""If you push any injury researcher hard enough, they’ll tell you that overuse – doing too much, too soon – is the underlying cause in the vast majority of cases."" https://t.co/JHxhisxz5w","RunnersWorldmag","Runners"
